rank;name;agency;real name;group;age;height;weight;blood type;origin;country;position;industry;gender;curr date;birth date
419;Jian;Star Empire Entertainment;Lee Daekwang;Imfact;26;176;;O;;South Korea;Leader, Main Rapper, Lead Dancer, Vocalist;K-pop;Male;23.04.2020;08.11.1993
420;Sang;Star Empire Entertainment;Lee Sang;Imfact;24;176;;B;;South Korea;Lead Vocalist, Visual;K-pop;Male;23.04.2020;17.10.1995
421;Junyoung;Star Empire Entertainment;Moon Jun-young;ZE:A;31;180;64;A;Seoul;South Korea;Leader, Main Vocalist;K-pop;Male;23.04.2020;09.02.1989
422;Dongjun;Star Empire Entertainment;Kim Dong-jun;ZE:A;28;;58;B;Busan;South Korea;Main Vocalist, Lead Dancer, Maknae;K-pop;Male;23.04.2020;11.02.1992
423;Hyungshik;Star Empire Entertainment;Park Hyung-sik;ZE:A;28;183;65;AB;;South Korea;Main Vocalist, Visual;K-pop;Male;23.04.2020;16.11.1991
424;Minwoo;Star Empire Entertainment;Ha Min-woo;ZE:A;29;178;54;B;Yangsan;South Korea;Main Dancer, Rapper, Vocalist;K-pop;Male;23.04.2020;06.09.1990
425;Ungjae;Star Empire Entertainment;Na Ung Jae;Imfact;21;174;57;B;;South Korea;Vocalist, Rapper, Maknae;K-pop;Male;23.04.2020;28.05.1998
426;Heechul;Star Empire Entertainment;Jung Hee-chul;ZE:A;30;177;58;B;Jeju;South Korea;Lead Rapper, Vocalist;K-pop;Male;23.04.2020;09.12.1989
427;Taeheon;Star Empire Entertainment;Kim Tae-heon;ZE:A;30;177;63;A;Busan;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;18.06.1989
428;Siwan;Star Empire Entertainment;Im Woong-Jae;ZE:A;31;175;51;B;Busan;South Korea;Vocalist, Visual;K-pop;Male;23.04.2020;01.12.1988
429;Kwanghee;Star Empire Entertainment;Hwang Kwang-hee;ZE:A;31;173;54;A;Gyeonggi;South Korea;Vocalist;K-pop;Male;23.04.2020;25.08.1988
430;Kevin;Star Empire Entertainment;Kim Ji-yeop;ZE:A;32;180;66;A;;South Korea;Lead Dancer, Lead Vocalist, Rapper;K-pop;Male;23.04.2020;23.02.1988
431;Taeho;Star Empire Entertainment;Kim Tae Ho;Imfact;26;170;56;O;;South Korea;Main Dancer, Main Vocalist;K-pop;Male;23.04.2020;01.11.1993
432;Sungwoon;Star Crew Entertainment;Ha Sung Woon;HOTSHOT;26;167;55;A;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;22.03.1994
433;Roh Taehyun;Star Crew Entertainment;Roh Taehyun;HOTSHOT;26;168;55;A;;South Korea;Main Dancer, Lead Vocalist, Rapper;K-pop;Male;23.04.2020;15.10.1993
434;Timoteo;Star Crew Entertainment;Kim Moon Gyu;HOTSHOT;27;180;63;B;Seoul;South Korea;Lead Dancer, Vocalist, Rapper;K-pop;Male;23.04.2020;25.01.1993
435;Junhyuk;Star Crew Entertainment;Choi Jun Hyuk;HOTSHOT;28;183;66;B;;South Korea;Leader, Main Vocalist;K-pop;Male;23.04.2020;21.04.1992
436;Hojung;Star Crew Entertainment;Go Hojung;HOTSHOT;25;180;65;O;;South Korea;Lead Vocalist, Lead Dancer, Maknae,Visual;K-pop;Male;23.04.2020;20.10.1994
437;Yoonsan;Star Crew Entertainment;Yoon Sang Hyuk;HOTSHOT;25;175;63;AB;;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;22.08.1994
438;Bawool;Stallion Entertainment;Kim Bawool;The King;25;;;;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;07.02.1995
439;Choi Rang;Stallion Entertainment;Choi Ju Yong;The King;28;;;;;South Korea;Rapper;K-pop;Male;23.04.2020;15.06.1991
440;Seungjae;Stallion Entertainment;Lee Seung Jae;The King;25;;;;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;12.09.1994
441;Donghyeok;Stallion Entertainment;Lee Dong Hyeok;The King;27;;;;;South Korea;Vocalist;K-pop;Male;23.04.2020;12.01.1993
442;Sejin;Stallion Entertainment;Jeon Se Jin;The King;28;;;;;South Korea;Leader, Rapper, Composer, Song Writer;K-pop;Male;23.04.2020;28.02.1992
443;Chaerin  ;Space Music;Jung Chaerin;Hi Cutie;13;150;40;O;;South Korea;Maknae;K-pop;Female;23.04.2020;08.05.2006
444;Eungi  ;Space Music;Yoon Eungi;Hi Cutie;15;163;53;O;;South Korea;Vocalist;K-pop;Female;23.04.2020;16.08.2004
445;Yunjeong  ;Space Music;Hwang Yunjeong;Hi Cutie;15;150;37;;;South Korea;Rapper;K-pop;Female;23.04.2020;11.07.2004
446;Yujin  ;Space Music;Heo Yujin;Hi Cutie;17;153;39;O;;South Korea;Leader;K-pop;Female;23.04.2020;16.04.2003
447;Umji;Source Music Entertainment;Kim Ye Won;GFriend;21;163.8;49;O;Incheon;South Korea;Lead Rapper, Vocalist, Maknae;K-pop;Female;23.04.2020;19.08.1998
448;Yuju;Source Music Entertainment;Choi Yu Na;GFriend;22;170;49;B;Ilsan;South Korea;Main Vocalist;K-pop;Female;23.04.2020;04.10.1997
449;Eunha;Source Music Entertainment;Jung Eun Bi;GFriend;22;162.6;46;O;Seoul;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;30.05.1997
450;Yerin;Source Music Entertainment;Jung Ye Rin;GFriend;23;167;47;O;Incheon;South Korea;Lead Dancer, Vocalist, Center;K-pop;Female;23.04.2020;19.08.1996
451;Sowon;Source Music Entertainment;Kim So Jung;GFriend;24;172.8;51;A;Seoul;South Korea;Leader, Main Rapper, Vocalist, Visual;K-pop;Female;23.04.2020;07.12.1995
452;SinB;Source Music Entertainment;Hwang Eun Bi;GFriend;21;167;46;AB;Cheongju;South Korea;Main Dancer, Vocalist, Center;K-pop;Female;23.04.2020;03.06.1998
453;Park Yoo Chun;SM Entertainment;Park Yoo Chun;TVXQ;33;180;60;O;Seoul;South Korea;Main Rapper, Vocalist;K-pop;Male;23.04.2020;04.06.1986
454;Chenle;SM Entertainment;Zhong Chen Le;NCT;18;177;58;A;Shanghai;China;Vocalist;K-pop;Male;23.04.2020;22.11.2001
455;Onew;SM Entertainment;Lee Jin Ki;SHINee;30;178;;O;Gyeonggi-do;South Korea;Leader, Main Vocalist;K-pop;Male;23.04.2020;14.12.1989
456;Soyeon;SM Entertainment;Jeon So-yeon;Seulgi x SinB x Chungha x Soyeon;21;157;45;B;;South Korea;Main Rapper, Lead Dancer, Sub Vocalist, Maknae;K-pop;Female;23.04.2020;26.08.1998
457;SinB;SM Entertainment;Hwang Eun Bi;Seulgi x SinB x Chungha x Soyeon;21;167;46;AB;Cheongju;South Korea;Lead Vocalist, Lead Dancer, Visual;K-pop;Female;23.04.2020;03.06.1998
458;Chungha;SM Entertainment;Kim Chan-mi;Seulgi x SinB x Chungha x Soyeon;24;161;44;A;;South Korea;Main Vocalist, Main Dancer;K-pop;Female;23.04.2020;09.02.1996
459;Seulgi;SM Entertainment;Kang Seul Gi;Seulgi x SinB x Chungha x Soyeon;26;162;44;A;Gyeonggi-do;South Korea;Main Vocalist, Main Dancer, FOTG;K-pop;Female;23.04.2020;10.02.1994
460;Yeri  ;SM Entertainment;Kim Ye Rim;Red Velvet;21;160;49;O;;South Korea;Vocalist, Rapper, Maknae;K-pop;Female;23.04.2020;05.03.1999
461;Joy  ;SM Entertainment;Park Soo Young;Red Velvet;23;168;49;A;;South Korea;Lead Rapper, Vocalist;K-pop;Female;23.04.2020;03.09.1996
462;Wendy  ;SM Entertainment;;Red Velvet;26;160;47;O;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;21.02.1994
463;Seulgi  ;SM Entertainment;Kang Seul Gi;Red Velvet;26;164;44;A;;South Korea;Lead Vocalist, Main Dancer;K-pop;Female;23.04.2020;10.02.1994
464;Irene  ;SM Entertainment;Bae Ju Hyun;Red Velvet;29;160;44;A;;South Korea;Leader, Main Rapper, Lead Dancer, Vocalist,Visual, Center;K-pop;Female;23.04.2020;29.03.1991
465;Jisung  ;SM Entertainment;Park Ji Sung;NCT;18;180;60;O;Seoul;South Korea;Dancer, Vocalist, Rapper, Maknae;K-pop;Male;23.04.2020;05.02.2002
466;YangYang;SM Entertainment;Liu YangYang;NCT;19;;;O;;China;;K-pop;Male;23.04.2020;10.10.2000
467;Minho;SM Entertainment;Choi Min Ho;SHINee;28;184;;B;Incheon;South Korea;Main Rapper, Vocalist, Visual;K-pop;Male;23.04.2020;09.12.1991
468;Jaemin;SM Entertainment;Na Jae Min;NCT;19;176.5;60;AB;;South Korea;Rapper, Dancer, Vocalist;K-pop;Male;23.04.2020;13.08.2000
469;Haechan;SM Entertainment;Lee Dong Hyuck;NCT;19;174;57;AB;;South Korea;Vocalist, Dancer;K-pop;Male;23.04.2020;06.06.2000
470;Jeno;SM Entertainment;Lee Je No;NCT;20;177;58;A;Incheon;South Korea;Dancer, Vocalist, Rapper;K-pop;Male;23.04.2020;23.04.2000
471;Renjun;SM Entertainment;Huang Ren Jun;NCT;20;170;52;O;;South Korea;Vocalist;K-pop;Male;23.04.2020;23.03.2000
472;Hendery;SM Entertainment;Wong Kunhang;NCT;20;;;O;Macau;China;;K-pop;Male;23.04.2020;28.09.1999
473;Xiao Jun;SM Entertainment;Xiao Dejun;NCT;20;;;A;Guangdong;China;;K-pop;Male;23.04.2020;08.08.1999
474;Mark;SM Entertainment;Mark Lee;NCT;20;174;60;A;;South Korea;Rapper, Dancer, Vocalist;K-pop;Male;23.04.2020;02.08.1999
475;Lucas;SM Entertainment;Huang Xuxi / Wong Yuk-hei;NCT;21;183;65;O;Hong-Kong;China;Rapper, Vocalist, Dancer;K-pop;Male;23.04.2020;25.01.1999
476;Jungwoo;SM Entertainment;Kim Jung-woo;NCT;22;180;58;AB;Gunpo;South Korea;Vocalist, Dancer;K-pop;Male;23.04.2020;19.02.1998
477;WinWin;SM Entertainment;Dong Si Cheng;NCT;22;178;60;B;Zhejiang;China;Dancer, Vocalist;K-pop;Male;23.04.2020;28.10.1997
478;Jaehyun;SM Entertainment;Jung Yoon Oh;NCT;23;180;63;A;Seoul;South Korea;Vocalist, Dancer, Rapper, Visual;K-pop;Male;23.04.2020;14.02.1997
479;Key;SM Entertainment;Kim Ki Bum;SHINee;28;181;;B;Daegu;South Korea;Lead Rapper, Lead Dancer, Vocalist;K-pop;Male;23.04.2020;23.09.1991
480;Taemin;SM Entertainment;Lee Tae Min;SHINee;26;179;;B;Seoul;South Korea;Main Dancer, Lead Vocalist, Maknae;K-pop;Male;23.04.2020;18.07.1993
481;Doyoung;SM Entertainment;Kim Dong Young;NCT;24;178;60;B;Gyeonggi;South Korea;Vocalist;K-pop;Male;23.04.2020;01.02.1996
482;Kai;SM Entertainment;Kim Jong In;Super M;26;182;;A;Seoul;South Korea;Main Dancer, Lead Rapper, Sub-Vocalist;K-pop;Male;23.04.2020;14.01.1994
483;Xiah;SM Entertainment;Kim Jun Su;TVXQ;;178;63;B;;South Korea;Main Vocalist, Lead Dancer;K-pop;Male;23.04.2020;
484;Hero;SM Entertainment;Kim Jae Joong;TVXQ;34;180;63;O;;South Korea;Main Vocalist, Visual;K-pop;Male;23.04.2020;26.01.1986
485;Max;SM Entertainment;Shim Chang Min;TVXQ;32;186;61;B;Seoul;South Korea;Main Vocalist, Maknae;K-pop;Male;23.04.2020;18.02.1988
486;U-Know;SM Entertainment;Jung Yun Ho;TVXQ;34;184;66;A;Gwangju;South Korea;Leader, Main Dancer, Main Rapper, Vocalist;K-pop;Male;23.04.2020;06.02.1986
487;Stephanie;SM Entertainment;Stephanie Kim;The Grace;32;168;;O;California;USA;Main dancer, vocalist, maknae;K-pop;Female;23.04.2020;16.10.1987
488;Sunday;SM Entertainment;Jin Bora;The Grace;33;164;;O;;South Korea;Lead vocalist, maknae;K-pop;Female;23.04.2020;12.01.1987
489;Dana;SM Entertainment;Hong Sungmi;The Grace;33;171;48;O;;South Korea;Main vocalist;K-pop;Female;23.04.2020;17.07.1986
490;Lina;SM Entertainment;Lee Jiyeon;The Grace;36;168;;A;;South Korea;Main vocalist, visual;K-pop;Female;23.04.2020;18.02.1984
491;Lucas;SM Entertainment;Huang Xuxi / Wong Yuk-hei;Super M;21;183;65;O;Hong-Kong;China;Rapper;K-pop;Male;23.04.2020;25.01.1999
492;Ten;SM Entertainment;Chittaphon Leechaiyapornkul;Super M;24;170;59;A;;Thailand;Main Dancer, Lead Vocalist, Sub-Rapper;K-pop;Male;23.04.2020;27.02.1996
493;Taeyong;SM Entertainment;Lee Tae Yong;Super M;24;175;58;O;Seoul;South Korea;Main Rapper, Lead Dancer;K-pop;Male;23.04.2020;01.07.1995
494;Taemin;SM Entertainment;Lee Tae Min;Super M;26;179;;B;Seoul;South Korea;Main Dancer, Main Vocalist, Center;K-pop;Male;23.04.2020;18.07.1993
495;Jonghyun;SM Entertainment;Kim Jong Hyun;SHINee;30;174;;;Seoul;South Korea;Main Vocalist;K-pop;Male;23.04.2020;08.04.1990
496;Baekhyun;SM Entertainment;Byun Baek Hyun;Super M;27;174;;O;Bucheon;South Korea;Leader, Main Vocalist;K-pop;Male;23.04.2020;06.05.1992
497;Zhoumi;SM Entertainment;Zhou Mi;Super Junior;34;;;;Hubei;China;Vocalist and Rapper;K-pop;Male;23.04.2020;19.04.1986
498;Kyuhyun;SM Entertainment;Cho Kyu Hyun;Super Junior;32;180;68;A;Seoul;South Korea;Main Vocalist, Maknae;K-pop;Male;23.04.2020;03.02.1988
499;Ryeowook;SM Entertainment;Kim Ryeo Wook;Super Junior;32;173;58;O;Incheon;South Korea;Main Vocalist;K-pop;Male;23.04.2020;21.06.1987
500;Donghae;SM Entertainment;Lee Dong Hae;Super Junior;33;175;60;A;Jeollanam;South Korea;Lead Vocalist, Lead Dancer, Rapper;K-pop;Male;23.04.2020;15.10.1986
501;Siwon;SM Entertainment;Choi Si Won;Super Junior;34;183;65;B;Seoul;South Korea;Vocalist, Visual;K-pop;Male;23.04.2020;07.04.1986
502;Eunhyuk;SM Entertainment;Lee Hyuk Jae;Super Junior;34;176;58;O;Gyeonggi;South Korea;Main Rapper, Vocalist, Main Dancer;K-pop;Male;23.04.2020;04.04.1986
503;Sungmin;SM Entertainment;;Super Junior;34;175;57;A;Gyeonggi;South Korea;Lead Vocalist, Lead Dancer;K-pop;Male;23.04.2020;01.01.1986
504;Shindong;SM Entertainment;Shin Dong Hee;Super Junior;34;178;90;O;North Gyeongsang;South Korea;Lead Rapper, Lead Dancer;K-pop;Male;23.04.2020;28.09.1985
505;Yesung;SM Entertainment;Kim Jong Woon;Super Junior;35;178;64;AB;South Chungcheong;South Korea;Main Vocalist;K-pop;Male;23.04.2020;24.08.1984
506;Heechul;SM Entertainment;Kim Hee Chul;Super Junior;36;179;60;AB;Gangwon;South Korea;Vocalist, Rapper;K-pop;Male;23.04.2020;10.07.1983
507;Leeteuk;SM Entertainment;Park Jung Soo;Super Junior;36;178;59;A;Seoul;South Korea;Leader, Vocalist, Rapper;K-pop;Male;23.04.2020;01.07.1983
508;Ten;SM Entertainment;Chittaphon Leechaiyapornkul;NCT;24;170;59;A;Bangkok;Thailand;Dancer, Rapper, Vocalist;K-pop;Male;23.04.2020;27.02.1996
509;Mark;SM Entertainment;Mark Lee;Super M;20;174;60;A;;South Korea;Main Rapper, Lead Dancer, Maknae;K-pop;Male;23.04.2020;02.08.1999
510;Kun;SM Entertainment;Qian Kun;NCT;24;176;60;B;Fujian;China;Vocalist;K-pop;Male;23.04.2020;01.01.1996
511;Amber;SM Entertainment;Liu Yi Yun;f(x);27;167;45;B;;South Korea;Main Rapper, Vocalist;K-pop;Female;23.04.2020;18.09.1992
512;Yuta;SM Entertainment;Nakamoto Yuta;NCT;24;176;60;A;Osaka;Japan;Vocalist, Rapper, Dancer;K-pop;Male;23.04.2020;26.10.1995
513;Suho  ;SM Entertainment;Kim Jun Myeon;EXO;28;172;;AB;;South Korea;Leader, Lead Vocalist;K-pop;Male;23.04.2020;22.05.1991
514;Xiumin;SM Entertainment;Kim Min Seok;EXO;30;173;;;;South Korea;Lead Vocalist, Lead Dancer, Rapper;K-pop;Male;23.04.2020;26.03.1990
515;Lay  ;SM Entertainment;Zhang Yixing;EXO;28;177;60;A;;South Korea;Main Dancer, Vocalist, Rapper;K-pop;Male;23.04.2020;07.10.1991
516;Baekhyun  ;SM Entertainment;Byun Baek Hyun;EXO;27;174;;O;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;06.05.1992
517;Chen  ;SM Entertainment;Kim Jong Dae;EXO;27;173;;B;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;21.09.1992
518;Chanyeol  ;SM Entertainment;Park Chan Yeol;EXO;27;186;;A;;South Korea;Main Rapper, Vocalist, Visual;K-pop;Male;23.04.2020;27.11.1992
519;D.O.  ;SM Entertainment;Do Kyung Soo;EXO;27;173;;A;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;12.01.1993
520;Kai  ;SM Entertainment;Kim Jong In;EXO;26;181;;A;;South Korea;Main Dancer, Rapper, Vocalist, Center, Visual;K-pop;Male;23.04.2020;14.01.1994
521;Sehun  ;SM Entertainment;Oh Se Hun;EXO;26;183;;O;;South Korea;Lead Dancer, Lead Rapper, Sub-Vocalist, Visual, Maknae;K-pop;Male;23.04.2020;12.04.1994
522;Kris  ;SM Entertainment;Wu Yifan;EXO;29;187;;O;Guangdong;China;Main Rapper, Leader;K-pop;Male;23.04.2020;06.11.1990
523;Luhan;SM Entertainment;Lu Han;EXO;30;178;;O;;China;Lead Vocalist, Lead Dancer, Visual, Face of The Group;K-pop;Male;23.04.2020;20.04.1990
524;Tao;SM Entertainment;;EXO;26;183;;AB;;China;Lead Rapper, Lead Dancer, Vocalist;K-pop;Male;23.04.2020;02.05.1993
525;Song Qian;SM Entertainment;Song Qian;f(x);33;168;45;A;;China;Leader, Main Dancer, Lead Rapper, Vocalist, Visual;K-pop;Female;23.04.2020;02.02.1987
526;Luna;SM Entertainment;Park Sun Young;f(x);26;162;44;A;Seoul;South Korea;Main Vocalist, Lead Dancer;K-pop;Female;23.04.2020;12.08.1993
527;Yoona;SM Entertainment;Choi Soo Young;Girls' Generation;;170;49;O;Gyeonggi;South Korea;Lead Dancer, Lead Rapper, Vocalist;K-pop;Female;23.04.2020;
528;Johnny;SM Entertainment;;NCT;25;184;68;B;Chicago;USA;Rapper, Dancer, Vocalist;K-pop;Male;23.04.2020;09.02.1995
529;Taeil;SM Entertainment;Moon Tae Il;NCT;25;171;60;O;Seoul;South Korea;Vocalist;K-pop;Male;23.04.2020;14.06.1994
530;Taeyong;SM Entertainment;Lee Tae Yong;NCT;24;175;58;O;Seoul;South Korea;Leader, Rapper, Dancer, Vocalist, Center/Face of the Group, Visual;K-pop;Male;23.04.2020;01.07.1995
531;Jessica;SM Entertainment;Jessica Jung;Girls' Generation;;162;;B;California;USA;Main Vocalist;K-pop;Female;23.04.2020;
532;Seohyun;SM Entertainment;Seo Joo Hyun;Girls' Generation;;168;49;A;Seoul;South Korea;Lead Vocalist, Maknae;K-pop;Female;23.04.2020;
533;Chrystal Soo Jung;SM Entertainment;Chrystal Soo Jung;f(x);25;165;48;A;;South Korea;Lead Vocalist, Visual, Maknae;K-pop;Female;23.04.2020;24.10.1994
534;Im Yoon-A;SM Entertainment;Im Yoon-A;Girls' Generation;;167;48;B;Seoul;South Korea;Lead Dancer, Lead Rapper, Vocalist, Visual, Center;K-pop;Female;23.04.2020;
535;Yuri;SM Entertainment;Kwon Yu Ri;Girls' Generation;;166;46;AB;Gyeonggi;South Korea;Lead Dancer, Lead Rapper, Vocalist;K-pop;Female;23.04.2020;
536;Hyoyeon;SM Entertainment;Kim Hyo Yeon;Girls' Generation;;160;49;AB;Incheon;South Korea;Main Dancer, Main Rapper, Vocalist;K-pop;Female;23.04.2020;
537;Tiffany Young;SM Entertainment;Stephanie Hwang;Girls' Generation;;163;51;O;California;USA;Lead Vocalist, Rapper;K-pop;Female;23.04.2020;
538;Sunny;SM Entertainment;Lee Soon Kyu;Girls' Generation;;155;44;B;;South Korea;Lead Vocalist, Sub Rapper;K-pop;Female;23.04.2020;
539;Taeyeon;SM Entertainment;Kim Tae Yeon;Girls' Generation;;158;45;A;North Jeolla;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;
540;Sulli;SM Entertainment;Choi Jin Ri;f(x);26;170;41;O;South Gyeongsang;South Korea;Vocalist, Lead Rapper, Visual, Face of The Group;K-pop;Female;23.04.2020;29.03.1994
541;Taewoo;SidusHQ;Kim Taewoo;g.o.d;;190;85;B;;South Korea;Vocalist, Maknae;K-pop;Male;23.04.2020;
542;Joon Park;SidusHQ;Park Joonhyung;g.o.d;;181;68;B;;South Korea;Leader, Rapper;K-pop;Male;23.04.2020;
543;Kyesang;SidusHQ;Yoon Kyesang;g.o.d;;182;62;O;;South Korea;Vocalist;K-pop;Male;23.04.2020;
544;Danny;SidusHQ;Ahn Shinwon;g.o.d;;181;60;O;;USA;Rapper;K-pop;Male;23.04.2020;
545;Hoyoung;SidusHQ;Son Hoyoung;g.o.d;;177;62;B;;South Korea;Rapper, Vocalist;K-pop;Male;23.04.2020;
546;Andy;Shinhwa Company;;Shinhwa;39;175;62;O;;South Korea;Rapper, Maknae;K-pop;Male;23.04.2020;21.01.1981
547;Eric;Shinhwa Company;;Shinhwa;41;180;71;B;;South Korea;Leader, Main Rapper;K-pop;Male;23.04.2020;16.02.1979
548;Lee Min Woo;Shinhwa Company;Lee Min Woo;Shinhwa;40;174;64;A;;South Korea;Lead Vocalist, Main Dancer;K-pop;Male;23.04.2020;28.07.1979
549;Dongwan;Shinhwa Company;Kim Dong Wan;Shinhwa;40;174;68;O;;South Korea;Vocalist;K-pop;Male;23.04.2020;21.11.1979
550;Shin Hye Sung Or Hyesung;Shinhwa Company;;Shinhwa;40;179;65;A;;South Korea;Main Vocalist;K-pop;Male;23.04.2020;27.11.1979
551;Junjin;Shinhwa Company;Park Choong Jae;Shinhwa;39;182;75;B;;South Korea;Lead Rapper, Vocalist, Lead Dancer;K-pop;Male;23.04.2020;19.08.1980
552;Lea;SHINE E&M;Lea Huening;VIVA;;170;48;A;Hawaii;USA;Main Dancer, Vocalist, Maknae;K-pop;Female;23.04.2020;
553;Yeji;SHINE E&M;;VIVA;22;170;48;;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;09.08.1997
554;Jaeny;SHINE E&M;;VIVA;23;167;47;;;South Korea;Vocalist, Rapper;K-pop;Female;23.04.2020;03.08.1996
555;Gayeon;SHINE E&M;;VIVA;28;163;45;;;South Korea;Leader, Vocalist;K-pop;Female;23.04.2020;19.08.1991
556;Haneul;SD Entertainment;Choi Han Eul;Saturday;19;158;42;AB;;South Korea;Leader, Main Rapper, Main Dancer, Vocalist, Visual;K-pop;Female;23.04.2020;28.11.2000
557;Ayeon;SD Entertainment;Son Min Ji;Saturday;17;162;46;O;;South Korea;Main Vocalist, Visual;K-pop;Female;23.04.2020;29.09.2002
558;Minseo  ;SD Entertainment;Park Min Seo;Saturday;17;163;45;A;;South Korea;Lead Rapper, Vocalist, Maknae;K-pop;Female;23.04.2020;21.03.2003
559;Juyeon;SD Entertainment;Lee Ju Yeon;Saturday;18;164;43;B;;South Korea;Lead Vocalist, Lead Dancer;K-pop;Female;23.04.2020;06.11.2001
560;Yuki  ;SD Entertainment;Im Ji Yeon;Saturday;18;161;45;O;;South Korea;Lead Vocalist, Lead Dancer;K-pop;Female;23.04.2020;30.01.2002
561;Hyoyeon;S.M. Entertainment;Kim Hyo Yeon;Oh!GG;;160;49;AB;Incheon;South Korea;Main Rapper, Main Dancer, Vocalist;K-pop;Female;23.04.2020;
562;Sunny;S.M. Entertainment;Lee Soon Kyu;Oh!GG;;158;44;B;Los Angeles;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;
563;Taeyeon;S.M. Entertainment;Kim Taeyeon;Oh!GG;;158;45;A;North Jeolla;South Korea;Main Vocalist;K-pop;Female;23.04.2020;
564;Yoona;S.M. Entertainment;Im Yoon-A;Oh!GG;29;167;48;B;Seoul;South Korea;Leader, Lead Dancer, Lead Rapper, Vocalist, Visual, Center, Maknae;K-pop;Female;23.04.2020;30.05.1990
565;Yuri;S.M. Entertainment;Kwon Yu Ri;Oh!GG;;166;46;AB;Gyeonggi;South Korea;Lead Dancer, Lead Rapper, Lead Vocalist, Visual;K-pop;Female;23.04.2020;
566;Daewon;S.How Entertainment;Lee Daewon;BNF;29;183;71;;;South Korea;;K-pop;Male;23.04.2020;16.01.1991
567;Ha Bin;S.How Entertainment;Ha Bin;BNF;28;174;60;;;South Korea;;K-pop;Male;23.04.2020;07.11.1991
568;Harang;S.How Entertainment;Park Ha Rang;BNF;26;183;65;;;South Korea;Maknae;K-pop;Male;23.04.2020;24.06.1993
569;Woo-Ah;S.A ITAINMENT;;Wish Girls;;;;;;South Korea;Leader, Vocalist, Rapper;K-pop;Female;23.04.2020;
570;Hye-Jin;S.A ITAINMENT;-, Hye Jin;Wish Girls;19;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;13.07.2000
571;SWAN;S.A ITAINMENT;;Wish Girls;;;;;;South Korea;Vocalist;K-pop;Female;23.04.2020;
572;ChaeY;S.A ITAINMENT;;Wish Girls;;;;;;South Korea;Vocalist, Maknae;K-pop;Female;23.04.2020;
573;KaRin;S.A ITAINMENT;;Wish Girls;;;;;;South Korea;Dancer, Vocalist, Rapper;K-pop;Female;23.04.2020;
574;Lee Goo Seul;Roots Entertainment;Lee Yeo-reum;Girls' Alert;18;153;41;;Daejeon;South Korea;Main Dancer, Main Rapper, Lead Vocalist;K-pop;Female;23.04.2020;18.08.2001
575;Lee Narin;Roots Entertainment;Lee Eun-seo;Girls' Alert;15;166;46;;;South Korea;Main Vocalist, Maknae;K-pop;Female;23.04.2020;28.10.2004
576;Jeon Saet Byeol;Roots Entertainment;Jeon Yoo-jin;Girls' Alert;19;165;;;Goyang;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;27.02.2001
577;Kim Seul Bi;Roots Entertainment;Kim Min-jung;Girls' Alert;20;;;;Seoul;South Korea;Lead Dancer, Vocalist, Visual;K-pop;Female;23.04.2020;18.10.1999
578;Jisung;Roots Entertainment;Yoon Ji-sung;Girls' Alert;20;168;58;;Suncheon;South Korea;Leader, Lead Rapper, Vocalist;K-pop;Female;23.04.2020;06.08.1999
579;Han Gyeo Ul;Roots Entertainment;Jang Ji-ho;Girls' Alert;21;;;;Pohang;South Korea;Leader, Main Vocalist;K-pop;Female;23.04.2020;13.12.1998
580;Yunji;Rising Star Entertainment;;Ariaz;23;156;;AB;;South Korea;Leader, Main Vocalist, Lead Dancer;K-pop;Female;23.04.2020;26.08.1996
581;Dawon;Rising Star Entertainment;;Ariaz;23;158;;;;South Korea;Main Vocalist;K-pop;Female;23.04.2020;02.12.1996
582;Sihyeon;Rising Star Entertainment;;Ariaz;21;160;;A;;South Korea;Lead Vocalist, Visual;K-pop;Female;23.04.2020;15.07.1998
583;Hyogyeong;Rising Star Entertainment;;Ariaz;20;167;;B;;South Korea;Lead Vocalist, Lead Rapper;K-pop;Female;23.04.2020;15.11.1999
584;Yeori;Rising Star Entertainment;;Ariaz;20;165;;;;South Korea;Main Rapper, Main Dancer, Vocalist;K-pop;Female;23.04.2020;08.09.1999
585;Jueun;Rising Star Entertainment;;Ariaz;19;163;;;;South Korea;Vocalist, Maknae;K-pop;Female;23.04.2020;27.01.2001
586;J;Richworld Entertainment;;HIGH SCHOOL;;;;;;South Korea;Main Vocalist, Sub Rapper;K-pop;Female;23.04.2020;
587;Soeun;Richworld Entertainment;;HIGH SCHOOL;;;;B;;South Korea;Lead Vocalist;K-pop;Female;23.04.2020;
